trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-8.956811052611503,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-51.799974001824765,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-96.84684862590784,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-147.09356057026125,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-85.80164694213165,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-199.21537221641412,"{0: 12, 1: 7, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-93.73529231510467,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-236.05161704068445,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,6,-107.46831710830875,"{0: 4, 1: 1, 2: 7, 3: 2, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-43.44111018701147,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-74.54008919071286,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-98.67264793215611,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",35,0,-267.0073022886132,"{0: 15, 1: 4, 2: 12, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-210.60446525159364,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-175.64342975097478,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",35,0,-211.7669656272297,"{0: 15, 1: 3, 2: 15, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-178.62756091048573,"{0: 9, 1: 7, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-137.0135899609751,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-181.9853941345177,"{0: 8, 1: 3, 2: 12, 3: 1, 4: 1}",0
